carbon_number,RI,RT_min,source
7,700,3.659,C7-C40-3uL single-run; M+100=39%
8,800,5.616,C7-C40-3uL single-run; M+114=13%
9,900,8.541,C7-C40-3uL single-run; M+128=6%
10,1000,12.043,C7-C40-3uL single-run; RT
11,1100,15.731,C7-C40-3uL single-run; RT
12,1200,19.346,C7-C40-3uL single-run; M+170
13,1300,22.817,C7-C40-3uL single-run; RT
14,1400,26.103,C7-C40-3uL single-run; M+198
15,1500,29.224,C7-C40-3uL single-run; RT
16,1600,32.18,C7-C40-3uL single-run; M+226
17,1700,34.982,C7-C40-3uL single-run; RT
18,1800,37.65,C7-C40-3uL single-run; M+254
19,1900,40.204,C7-C40-3uL single-run; M+268
20,2000,42.635,C7-C40-3uL single-run; M+282锚点
21,2100,44.963,C7-C40-3uL single-run; M+296
22,2200,47.198,C7-C40-3uL single-run; M+310
23,2300,49.34,C7-C40-3uL single-run; M+324
24,2400,51.4,C7-C40-3uL single-run; M+338
25,2500,53.378,C7-C40-3uL single-run; M+352
26,2600,55.284,C7-C40-3uL single-run; M+366
27,2700,57.127,C7-C40-3uL single-run; RT
28,2800,58.899,C7-C40-3uL single-run; M+394
29,2900,60.619,C7-C40-3uL single-run; RT
30,3000,62.288,C7-C40-3uL single-run; RT
31,3100,63.905,C7-C40-3uL single-run; RT
32,3200,65.471,C7-C40-3uL single-run; RT
33,3300,66.985,C7-C40-3uL single-run; M+464
34,3400,68.468,C7-C40-3uL single-run; RT
35,3500,69.9,C7-C40-3uL single-run; RT
36,3600,71.3,C7-C40-3uL single-run; RT
37,3700,72.784,C7-C40-3uL single-run; RT
38,3800,74.483,C7-C40-3uL single-run; RT
39,3900,76.43,C7-C40-3uL single-run; RT
40,4000,78.716,C7-C40-3uL single-run; RT
